id,product_code,판매 URL,품절 여부
151,6219792,https://www.reebonz.co.kr/products/6219792/section/w-pmi_brand-direct_buy-1/2,
152,6280593,https://www.reebonz.co.kr/products/6280593/section/w-pmi_brand-direct_buy-1/18,
153,6316501,https://www.reebonz.co.kr/products/6316501/section/w-pmi_brand-direct_buy-1/35,
154,7619327,https://www.reebonz.co.kr/products/7619327/section/w-pmi_brand-direct_buy-1/13,
155,7829479,https://www.reebonz.co.kr/products/7829479/section/w-pmi_brand-direct_buy-1/4,
156,8194939,https://www.reebonz.co.kr/products/8194939/section/w-pmi_brand-direct_buy-1/14,
157,9109146,https://www.reebonz.co.kr/products/9109146/section/w-pmi_categories-direct_buy-1/23,
158,9127392,https://www.reebonz.co.kr/events/28635/products/9127392/section/w-event_group-pl-1/7,
159,9227255,https://www.reebonz.co.kr/events/28635/products/9227255/section/w-event_group-pl-1/1,
160,9262209,https://www.reebonz.co.kr/events/28635/products/9262209/section/w-event_group-pl-1/17,
161,4551725,https://www.reebonz.co.kr/events/28635/products/4551725/section/w-event_group-pl-1/8?view_type=buy,
162,9195372,https://www.reebonz.co.kr/events/28635/products/9195372/section/w-event_group-pl-1/14?view_type=buy,
163,3945378,https://www.reebonz.co.kr/events/28635/products/3945378/section/w-event_group-pl-1/49?view_type=buy,
164,2673886,https://www.reebonz.co.kr/events/28635/products/2673886/section/w-event_group-pl-1/4?view_type=buy,
165,5238404,https://www.reebonz.co.kr/events/28635/products/5238404/section/w-event_group-pl-1/8?view_type=buy,
166,8149545,https://www.reebonz.co.kr/events/28635/products/8149545/section/w-event_group-pl-1/17?view_type=buy,
167,8271491,https://www.reebonz.co.kr/events/28635/products/8271491/section/w-event_group-pl-3/5?view_type=buy,
168,8271574,https://www.reebonz.co.kr/events/28635/products/8271574/section/w-event_group-pl-3/11?view_type=buy,
169,8395894,https://www.reebonz.co.kr/events/28635/products/8395894/section/w-event_group-pl-1/10?view_type=buy,
170,8538175,https://www.reebonz.co.kr/events/28635/products/8538175/section/w-event_group-pl-1/29?view_type=buy,
171,8538199,https://www.reebonz.co.kr/events/28635/products/8538199/section/w-event_group-pl-1/30?view_type=buy,
