상품번호,상품명_기본,자체상품코드,카테고리 코드,이미지 저장소,이미지 경로,페이스북 광고 제품 피드 이미지명
1000002680,페레가모 블루 진저 플랩 크로스백,8927264,"003002005
003
003002",url,20/07/31/1000002680/,https://koodonkr.hgodo.com/reebonz_facebook_img/8927264.jpg
1000002681,멀버리 블랙 릴리 체인 크로스백,8927475,"003002005
003
003002",url,20/07/31/1000002681/,https://koodonkr.hgodo.com/reebonz_facebook_img/8927475.jpg
1000002682,셀린느 블루 멀티 펑션 장지갑,9544431,"007001
007",url,20/07/31/1000002682/,https://koodonkr.hgodo.com/reebonz_facebook_img/9544431.jpg
1000002684,메종 마틴 마르지엘라 핑크 스티치 체인 반지갑,9544170,"007001
007",url,20/07/31/1000002684/,https://koodonkr.hgodo.com/reebonz_facebook_img/9544170.jpg
1000002699,알렉산더왕 리오트 크로스백,9598326,"003002005
003
003002",url,20/07/31/1000002699/,https://koodonkr.hgodo.com/reebonz_facebook_img/9598326.jpg
1000002700,프라다 스퀘어 토트백,9601167,"003002003
003
003002
003002002",url,20/07/31/1000002700/,https://koodonkr.hgodo.com/reebonz_facebook_img/9601167.jpg
1000002701,3.1 필립 림 브라운 아워 토트백,9601198,"003002003
003
003002",url,20/07/31/1000002701/,https://koodonkr.hgodo.com/reebonz_facebook_img/9601198.jpg
1000002702,구찌 패브릭 벨트,9601191,"007004
007",url,20/07/31/1000002702/,https://koodonkr.hgodo.com/reebonz_facebook_img/9601191.jpg
1000002703,발렌시아가 트랙 슈즈,9596767,"003003001
003
003003",url,20/07/31/1000002703/,https://koodonkr.hgodo.com/reebonz_facebook_img/9596767.jpg
1000002704,보테가 베네타 플라워 패턴 구두,9596873,"003003002
003
003003",url,20/07/31/1000002704/,https://koodonkr.hgodo.com/reebonz_facebook_img/9596873_thum.jpg
1000002705,발렌티노 블랙 뮬,9596852,"003003004
003
003003",url,20/07/31/1000002705/,https://koodonkr.hgodo.com/reebonz_facebook_img/9596852.jpg
1000002706,3.1 필립 림 블루 파실리 미니 사첼 토트백,8984714,"003002003
003
003002
003002002
003002005",url,20/07/31/1000002706/,https://koodonkr.hgodo.com/reebonz_facebook_img/8984714.jpg
1000002707,페레가모 레드 간치니 체인지갑,8750708,"007001
007",url,20/07/31/1000002707/,
1000002708,멀버리 블루 달리 체인 크로스백,8769342,"003002005
003
003002",url,20/07/31/1000002708/,https://koodonkr.hgodo.com/reebonz_facebook_img/8769342.jpg
1000002709,끌로에 그레이 파라티 토트백,9048509,"003002003
003
003002
003002002",url,20/07/31/1000002709/,https://koodonkr.hgodo.com/reebonz_facebook_img/9048509.jpg
1000002710,멀버리 레드 베이스워터 토트백,8169059,"003002003
003
003002
003002002",url,20/07/31/1000002710/,https://koodonkr.hgodo.com/reebonz_facebook_img/8169059.jpg
1000002711,몽블랑 블랙 사토리얼 크로스백,8955708,"002002005
002
002002",url,20/07/31/1000002711/,https://koodonkr.hgodo.com/reebonz_facebook_img/8955708.jpg
1000002712,지방시 브라운 나이팅게일 토트백,8722693,"003002003
003
003002
003002002",url,20/07/31/1000002712/,https://koodonkr.hgodo.com/reebonz_facebook_img/8722693.jpg
1000002713,프라다 블랙 다이노 토트백,8551834,"003002003
003
003002",url,20/07/31/1000002713/,https://koodonkr.hgodo.com/reebonz_facebook_img/8551834.jpg
1000002714,페레가모 리본 구두,9544074,"003003002
003
003003",url,20/07/31/1000002714/,https://koodonkr.hgodo.com/reebonz_facebook_img/9544074.jpg
1000002715,티파니 앤 코 18K 750 러빙 하트 목걸이,9530275,"004002
004",url,20/07/31/1000002715/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530275.jpg
1000002716,로렉스 스틸 시계 (179173),9530830,"005001
005",url,20/07/31/1000002716/,
1000002717,까르띠에 팬더 드 스몰 스틸 시계,9530754,"005002
005",url,20/07/31/1000002717/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530754.jpg
1000002718,까르띠에 루반 실버 시계,9530979,"005002
005",url,20/07/31/1000002718/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530979.jpg
1000002719,까르띠에 탱크 라지 스틸 시계,9530849,"005001
005",url,20/07/31/1000002719/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530849.jpg
1000002721,구찌 블랙 인터로킹 투웨이 토트백,9024016,"003002003
003
003002
003002002",url,20/07/31/1000002721/,https://koodonkr.hgodo.com/reebonz_facebook_img/9024016.jpg
